ocreval Accuracy Report Version 7.0
-----------------------------------
   30591   Characters
    9175   Errors
   70.01%  Accuracy

       0   Reject Characters
       0   Suspect Markers
       0   False Marks
    0.00%  Characters Marked
   70.01%  Accuracy After Correction

     Ins    Subst      Del   Errors
       3        0   { j<\n>}-{<\n>«}
       3        0   {( A}-{Â}
       3        0   {(AR}-{ÂK}
       3        0   {(D.}-{362}
       3        0   {(}-{« Â}
       3        0   {(}-{Â}
       3        0   {,0}-{ a.}
       3        0   {,un}-{n }
       3        0   {-<\n>}-{A, }
       3        0   {. 5}-{}
       3        0   {. k}-{}
       3        0   {.<\n>l}-{-t}
       3        0   {0}-{v. }
       3        0   {61}-{st }
       3        0   {636}-{WÂS}
       3        0   {6}-{é}
       3        0   {:<\n>m}-{mé }
       3        0   {:u:}-{ a.}
       3        0   {:}-{. i}
       3        0   {<\n>l}-{là }
       3        0   {<\n>si}-{ SI}
       3        0   {<\n>}-{.) }
       3        0   {<\n>}-{l é}
       3        0   {Asw}-{ÂSW}
       3        0   {C}-{c}
       3        0   {DR}-{v. }
       3        0   {G:}-{ a.}
       3        0   {G<\n>}-{ a }
       3        0   {I<\n>C}-{}
       3        0   {LP}-{ l’}
       3        0   {L}-{ à }
       3        0   {M<\n>.}-{ }
       3        0   {NT,}-{M, }
       3        0   {P}-{ l’}
       3        0   {SO}-{ so}
       3        0   {SS}-{s s}
       3        0   {S}-{ s’}
       3        0   {TL,}-{I }
       3        0   {U}-{ il}
       3        0   {V}-{ YÂ}
       3        0   {V}-{’t’}
       3        0   {a.)}-{514}
       3        0   {a.)}-{616}
       3        0   {a}-{ ok}
       3        0   {a}-{à}
       3        0   {d-<\n>}-{â}
       3        0   {dc}-{ù ç}
       3        0   {df}-{ ét}
       3        0   {dlu}-{ }
       3        0   {d}-{ à }
       3        0   {d}-{a}
       3        0   {e.}-{é, }
       3        0   {e}-{è}
       3        0   {g.u}-{(}
       3        0   {il<\n>}-{.) }
       3        0   {i}-{ NI}
       3        0   {i}-{I}
       3        0   {i}-{a}
       3        0   {i}-{é}
       3        0   {k}-{é}
       3        0   {le.}-{té}
       3        0   {les}-{ }
       3        0   {l}-{ t’}
       3        0   {l}-{ }
       3        0   {l}-{ ét}
       3        0   {l}-{té }
       3        0   {l}-{’t’}
       3        0   {n1}-{ HI}
       3        0   {ni}-{ NÂ}
       3        0   {nu,}-{ à }
       3        0   {n}-{ N’}
       3        0   {n}-{ m’}
       3        0   {q}-{ a.}
       3        0   {r-<\n>}-{I}
       3        0   {raw}-{AW}
       3        0   {raw}-{TAM}
       3        0   {raw}-{TAW}
       3        0   {rew}-{TEW}
       3        0   {rge}-{}
       3        0   {rs<\n>}-{ }
       3        0   {r}-{t, }
       3        0   {r}-{}
       3        0   {t(A}-{« Â}
       3        0   {t(A}-{Â}
       3        0   {tN}-{«IJ}
       3        0   {t}-{« Â}
       3        0   {u!}-{v. }
       3        0   {uew}-{MEW}
       3        0   {ur}-{ HI}
       3        0   {vi}-{ yâ}
       3        0   {v}-{ c’}
       3        0   {wew}-{MEW}
       3        0   {xw,}-{W, }
       3        0   {}-{ c’}
       3        0   {}-{ il}
       3        0   {}-{.) }
       3        0   {}-{KWA}
       3        0   {}-{il }
       3        0   {}-{i}
       3        0   {}-{« Â}
       3        0   {}-{’à }
       2        0   { .}-{}
       2        0   { 2}-{}
       2        0   { 4}-{}
       2        0   { 5}-{Â}
       2        0   { ;}-{}
       2        0   { l}-{}
       2        0   {!,}-{, }
       2        0   {!}-{ (}
       2        0   {!}-{ i}
       2        0   {!}-{ }
       2        0   {!}-{.}
       2        0   {(U}-{«}
       2        0   {)}-{m }
       2        0   {,,}-{ }
       2        0   {,.}-{ }
       2        0   {,4}-{ a}
       2        0   {,<\n>}-{ }
       2        0   {,<\n>}-{; }
       2        0   {,A}-{ â}
       2        0   {,A}-{. }
       2        0   {,W}-{ w}
       2        0   {-a}-{ â}
       2        0   {-}-{. }
       2        0   {.0}-{ a}
       2        0   {.0}-{ i}
       2        0   {.0}-{ o}
       2        0   {.4}-{ a}
       2        0   {.;}-{ }
       2        0   {.<\n>}-{<\n>Â}
       2        0   {.<\n>}-{}
       2        0   {.J}-{ j}
       2        0   {.}-{ n}
       2        0   {.}-{ â}
       2        0   {.}-{l }
       2        0   {.}-{é}
       2        0   {1 }-{}
       2        0   {1<\n>}-{}
       2        0   {1}-{ t}
       2        0   {1}-{i }
       2        0   {4 }-{Â}
